InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
DAFYYTQWSAWIGS-DEOSSOPVSA-N,[H][C@](O)(CNCCCCCCOCCOCC1=C(Cl)C=CC=C1Cl)C1=CC(CO)=C(O)C=C1,DB09082,P08684; P07550,Human,substrate; agonist,Endoplasmic reticulum membrane; Cell membrane,R03AK10; R03AL03,503068-34-6
SQYNKIJPMDEDEG-UHFFFAOYSA-N,CC1OC(C)OC(C)O1,DB09117,P05091,Human,substrate,Mitochondrion matrix,N05CC05,123-63-7
NLUFDZBOHMOBOE-UHFFFAOYSA-M,[Na+].CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=CC(=CC=C1S([O-])(=O)=O)S([O-])(=O)=O,DB09136,,,,,,68238-36-8
NPFOYSMITVOQOS-UHFFFAOYSA-K,[Fe+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,DB09162,,,,,V03AE08,3522-50-7
OOGKGVXDDGJCPO-NLQOEHMXSA-J,[99Tc+4].[O-]P([O-])(=O)OP([O-])([O-])=O,DB09165,,Human; Homo sapiens,ligand,,V09BA03,52997-54-3
HEFNNWSXXWATRW-JTQLQIEISA-N,[H][C@@](C)(C(O)=O)C1=CC=C(CC(C)C)C=C1,DB09213,P23219; P35354; P10415; P07204; P00750; P12104; P37231; P13569,Human,inhibitor; negative modulator; modulator; binder; activator,Microsome membrane; Mitochondrion outer membrane; Membrane; Secreted; Cytoplasm; Nucleus; Early endosome membrane,M01AE14,51146-56-6
DKYWVDODHFEZIM-NSHDSACASA-N,[H][C@@](C)(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,DB09214,,,,,M02AA27; M01AE17,22161-81-5
NCUCGYYHUFIYNU-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)=O,DB09229,,,,,,86780-90-7
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1,DB09231,,,,,C08CA15,105979-17-7
FIHJKUPKCHIPAT-AHIGJZGOSA-N,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4,DB09274,P04926,Plasmodium falciparum,inhibitor,Parasitophorous vacuole membrane,P01BF04; P01BF03; P01BE03; P01BF02; P01BF06,88495-63-0
FHNFHKCVQCLJFQ-NJFSPNSNSA-N,[133Xe],DB09315,,,,,V09EX03,14932-42-4
WHRVRSCEWKLAHX-LQDWTQKMSA-N,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,DB09320,,,,,J01CR50; J01CE09,54-35-3
HQRSUIDICNOLPX-UHFFFAOYSA-M,COC(CNC(=O)C1=CC=CC=C1OCC(O)=O)C[Hg]O,DB09338,,,,,C03BC01,486-67-9
GNOGSFBXBWBTIG-UHFFFAOYSA-N,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C=C1I,DB09347,,,,,V08AA07,
VEZXCJBBBCKRPI-UHFFFAOYSA-N,O=C1CCO1,DB09348,,,,,,57-57-8
UGJWZYARKOFRDB-UHFFFAOYSA-O,CCCCCCCCCCCC(=O)OCCNC(=O)C[N+]1=CC=CC=C1,DB09376,,,,,,109260-82-4
PUZPDOWCWNUUKD-ULWFUOSBSA-M,[18F-].[Na+],DB09398,,,,,,
BLALCKLYSDDAOC-JWFOFJTQSA-K,[111In+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC(O)=O,DB09425,,,,,V09AX01,135998-32-2
PWACSDKDOHSSQD-IUTFFREVSA-N,[H]\C(CN1CCCC1)=C(\C1=CC=C(C)C=C1)C1=CC=CC(=N1)C(\[H])=C(/[H])C(O)=O,DB09488,P35367,Human,antagonist,Cell membrane,R06AX18,87848-99-5
SZZACTGRBZTAKY-NKNBZPHVSA-F,[Na+].[Na+].[Na+].[Na+].[Na+].[153Sm+3].[O-]P([O-])(=O)CN(CCN(CP([O-])([O-])=O)CP([O-])([O-])=O)CP([O-])([O-])=O,DB09509,,,,,,
TYJJADVDDVDEDZ-UHFFFAOYSA-M,[K+].OC([O-])=O,DB11098,,,,,A12BA04,298-14-6
MCJGNVYPOGVAJF-UHFFFAOYSA-N,OC1=CC=CC2=C1N=CC=C2,DB11145,,,,,R02AA14; D08AH03; G01AC30; A01AB07,148-24-3
HEMHJVSKTPXQMS-UHFFFAOYSA-M,[OH-].[Na+],DB11151,,,,,,1310-73-2
YHGPYBQVSJBGHH-UHFFFAOYSA-H,O.O.O.O.O.[Fe+3].[Fe+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,DB11171,,,,,,10028-22-5
CFJMRBQWBDQYMK-UHFFFAOYSA-N,CCN(CC)CCOCCOC(=O)C1(CCCC1)C1=CC=CC=C1,DB11186,,,,,R05DB05,77-23-6
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,[H][C@]1(CO)O[C@@]([H])(OC2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,DB11217,P02768,Human,,Secreted,,497-76-7
KRHYYFGTRYWZRS-UHFFFAOYSA-M,[F-],DB11257,,,,,,16984-48-8
JPYYWXPAHJBKJX-VWSFRBHVSA-N,C[C@H]1C[C@@]2(OC(C)=O)[C@H]([C@H]1OC(=O)C1=CC=CC=C1)[C@@H](OC(C)=O)C(=C)CC[C@H]1[C@@H](\C=C(C)\C2=O)C1(C)C,DB11260,,,,,,218916-52-0
MVORZMQFXBLMHM-QWRGUYRKSA-N,NCCCC[C@H](NC(=O)[C@H](CC1=CNC=N1)NC(=O)CN)C(O)=O,DB11296,,,,,,49557-75-7
UUTKICFRNVKFRG-WDSKDSINSA-N,OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1,DB11364,,,,,L03AX05,121808-62-6
BVAZQCUMNICBAQ-PZHYSIFUSA-N,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC(=CN1)C1=CC2=C(C=C1)N1[C@@H](OC3=C(C=CC(=C3)C3=CNC(=N3)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)C1=C2)C1=CC=CC=C1,DB11574,P08183; P08684; P20815; P24462; Q9HB55,Hepatitis C Virus (HCV); Human,inhibitor; substrate,Cell membrane; Endoplasmic reticulum membrane,,1370468-36-2
QDYLMAYUEZBUFO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,DB11583,,,,,,10328-34-4
BJJXHLWLUDYTGC-ANULTFPQSA-N,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],DB11619,,,,,G03XA02,16320-04-0
TXEIIPDJKFWEEC-UHFFFAOYSA-N,OC(=O)C1=CC2=C(C=C1)N=C(O2)C1=CC(Cl)=CC(Cl)=C1,DB11644,,,,,N07XX08,594839-88-0
XUZMWHLSFXCVMG-UHFFFAOYSA-N,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,DB11817,Q8TCC7; P08183; Q9UNQ0; Q86VL8; P08684; P23458; O60674; Q4U2R8; O15245; O15244; Q9NPD5; Q96FL8; Q14289; P52333,Human,substrate; inhibitor,Basolateral cell membrane; Cell membrane; Endoplasmic reticulum membrane; Endomembrane system; Membrane; Cytoplasm,,1187594-09-7
GEJDGVNQKABXKG-CFKGEZKQSA-N,COC1=C(OC)C=C2[C@H]3C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN3CCC2=C1,DB11915,Q99870; P10635; P08684; P20815,Human,antagonist; substrate,Endoplasmic reticulum membrane,,1025504-45-3
DYDCPNMLZGFQTM-UHFFFAOYSA-N,NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F,DB11943,P22309; P35503; P54855; P0AFI2; P0AES4; P05181; P11712; P08684; Q2M3G0; Q9UNQ0; P02768,Human; Escherichia coli (strain K12),substrate; inhibitor; inducer,Microsome; Microsome membrane; Cell membrane; Cytoplasm; Endoplasmic reticulum membrane; Secreted,,189279-58-1
CULUWZNBISUWAS-UHFFFAOYSA-N,OC(CN1C=CN=C1N(=O)=O)=NCC1=CC=CC=C1,DB11989,,,,,P01CA02,22994-85-0
BNQDCRGUHNALGH-UHFFFAOYSA-N,NC(CO)C(O)=NNCC1=C(O)C(O)=C(O)C=C1,DB12783,,,,,,322-35-0
GYAVMUDJCHAASE-UHFFFAOYSA-M,[H][N]([H])([H])[Pt]1(OCC(=O)O1)[N]([H])([H])[H],DB13145,,Human,ligand,,,95734-82-0
RGZSQWQPBWRIAQ-CABCVRRESA-N,[H][C@@]1(CCC(C)=CC1)[C@@](C)(O)CCC=C(C)C,DB13153,Q9Y6L6; Q9NPD5,Human,substrate,Basolateral cell membrane,,23089-26-1
FHVDTGUDJYJELY-UHFFFAOYSA-N,OC1C(O)C(OC2C(O)C(O)C(OP)OC2C(O)=O)OC(C1P)C(O)=O,DB13518,,,,,A02BX13,9005-32-7
OURRXQUGYQRVML-AREMUKBSSA-N,CC1=CC(C)=C(C=C1)C(=O)OCC1=CC=C(C=C1)[C@@H](CN)C(=O)NC1=CC=C2C=NC=CC2=C1,DB13931,Q13464; O75116,Human,inhibitor,Cytoplasm,,1254032-66-0
DSFGXPJYDCSWTA-UHFFFAOYSA-N,CN(CCO)CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,DB09092,P39023; Q13423; P04406; P50213; Q02218; P40926,Human,binder; cofactor,Nucleus; Mitochondrion inner membrane; Cytoplasm; Mitochondrion; Mitochondrion matrix,C04AD02; R03DA20,2530-97-4
XVGOZDAJGBALKS-UHFFFAOYSA-N,CCN1CCN(CC1)C1=NC2=C(CCCCCC2)C(=C1)C1=CC=C(F)C=C1,DB09223,P08684; P14416; P35462; P28223; P02768,Human,substrate; antagonist,Endoplasmic reticulum membrane; Cell membrane; Secreted,,132810-10-7
GKQPCPXONLDCMU-CCEZHUSRSA-N,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1\C=C\C(=O)OC(C)(C)C)C(=O)OCC,DB09236,P08684; P02768; P02763; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305,Human,substrate; binder; antagonist,Endoplasmic reticulum membrane; Secreted; Membrane; Cell membrane,C08CA09,103890-78-4
PIDANAQULIKBQS-RNUIGHNZSA-N,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3([H])C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,DB09383,P02768,Human,,Secreted,H02AB15,1247-42-3
KLDXJTOLSGUMSJ-JGWLITMVSA-N,[H][C@]1(O)CO[C@]2([H])[C@]([H])(O)CO[C@]12[H],DB09401,P10415; Q07817; Q07820,Human,,Mitochondrion outer membrane; Mitochondrion inner membrane; Membrane,,652-67-5
KMUONIBRACKNSN-UHFFFAOYSA-N,[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O,DB11212,,,,,,7778-50-9
XHOLNRLADUSQLD-UHFFFAOYSA-N,COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC1=CC=C(Cl)C=N1,DB12364,P08183; P00742; Q12809; P00734,Human,transporter; inhibitor,Cell membrane; Secreted,,330942-05-7
UJVDJAPJQWZRFR-DHIUTWEWSA-N,CC(C)(N)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)NC=O,DB13074,Q92847; P08684,Human,agonist; substrate,Cell membrane; Endoplasmic reticulum membrane,V04CD06,381231-18-1
UYIFTLBWAOGQBI-BZDYCCQFSA-N,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CCC4=CC(OC(=O)C5=CC=CC=C5)=CC=C4[C@@]3([H])CC[C@]12C,DB13953,P03372; O75469; P04278; Q92731; P05177; P22309; P02768; P12104; P08684; P20815; P24462; O15244; O15245; O75751; O94956; P46721; Q5T3U5; Q9NSA0; Q9UNQ0; Q9Y6L6; P08183; P04798; Q16678; P33261; P10632; P11712; Q8TCC7; Q9NPD5; Q9NYB5; Q96BD0; P43681; Q15596; Q99527; P00846; Q14457; P37059; P62508,Human,agonist; substrate; inhibitor; inducer; ligand,Nucleus; Secreted; Endoplasmic reticulum membrane; Microsome; Cytoplasm; Membrane; Basolateral cell membrane; Cell membrane; Cell junction; Mitochondrion inner membrane,,50-50-0
POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(O)=O,DB03017,P06971; P02768; P17900; P11766; P9WNG3; P0A953; Q82122; P23008; P04936; P41235; P14555; P98155; Q9NZD2; P0AAI5; P02788; P02929; P07360; Q9UNK4; Q9I194; Q9Y6Y9; O00206; Q07869,Escherichia coli (strain K12); Human; Mycobacterium tuberculosis; HRV-16; HRV-1A; HRV-2; Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Cell outer membrane; Secreted; Lysosome; Cytoplasm; Virion; Nucleus; Membrane; Cell inner membrane; Periplasm; Cell membrane,,143-07-7
FVTCRASFADXXNN-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,DB03247,P16435; P30043; Q9UJM8; Q9NVS9; P46072; Q969G6; P17117; P29475; P0A7E1; Q12882; Q02127; P00322; P38489; P0A2Y7; P42593; Q53ZE5; P0AFI7; P71278; P63462; P30197; P41407; P56122; P0A3D9; P00323; P10340; Q8DW21; O34974; Q9WXV1; P50618; P69772; P20932; O07529; Q9ZK53; O00141; Q01234; Q9FDN7; Q746I8; P16099; Q9F0J6; Q9WZW1; Q51990; Q56691; O75676; Q51793; Q9NYQ3; Q9RYU4; P61949; P50740; Q60049; Q46604; Q81EW9; Q96CD2; O69755; P55038,Human; Vibrio fischeri; Escherichia coli (strain K12); Clostridium beijerinckii; Streptococcus pneumoniae (strain ATCC BAA-255 / R6); Lactococcus lactis subsp. cremoris; Enterobacter cloacae; Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720); Staphylococcus epidermidis; Helicobacter pylori (strain ATCC 700392 / 26695); Nostoc sp. (strain PCC 7120 / UTEX 2576); Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303); Synechococcus elongatus (strain PCC 7942); Streptococcus mutans serotype c (strain ATCC 700610 / UA159); Bacillus subtilis (strain 168); Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099); Escherichia coli O157:H7; Pseudomonas putida; Helicobacter pylori (strain J99 / ATCC 700824); Moorella thermoacetica (strain ATCC 39073); Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039); Methylophilus methylotrophus; Desulfovibrio gigas; Vibrio harveyi; Pseudomonas fluorescens; Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422); Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579); Desulfovibrio vulgaris (strain Miyazaki F / DSM 19637); Bacillus cereus (strain ATCC 14579 / DSM 31); Pseudomonas aeruginosa; Synechocystis sp. (strain PCC 6803 / Kazusa),,Endoplasmic reticulum membrane; Cytoplasm; Peroxisome; Cell membrane; Mitochondrion inner membrane; Membrane; Nucleus,,146-17-8
MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,DB03756,O15540; P11712; Q07869; P37231; P36956; P19793; P28702; P48443,Human,substrate; inhibitor; ligand; activator,Cytoplasm; Endoplasmic reticulum membrane; Nucleus,,6217-54-5
JKKFKPJIXZFSSB-CBZIJGRNSA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O,DB04574,P05177; P08684; P03372; Q92731; P04278; P02768; O15245; P11712,Human,substrate; agonist; inhibitor; inducer,Endoplasmic reticulum membrane; Nucleus; Secreted; Basolateral cell membrane,,481-97-0
PHWXUGHIIBDVKD-UHFFFAOYSA-N,CC1=NOC(NS(=O)(=O)C2=C(SC=C2)C(=O)CC2=CC3=C(OCO3)C=C2C)=C1Cl,DB06268,P33261; P11712; P08684; P25101; P24530,Human,inhibitor; substrate; antagonist,Endoplasmic reticulum membrane; Cell membrane,C02KX03,184036-34-8
ICKFFNBDFNZJSX-UHFFFAOYSA-N,CN(C)CCN(CC1=CC=C(Cl)C=C1)C1=CC=CC=N1,DB08800,P35367,Human,antagonist,Cell membrane,D04AA09; R06AC03; R06AC53,59-32-5
VRYMTAVOXVTQEF-UHFFFAOYSA-N,CC(C)C1=C(OCCN(C)C)C=C(C)C(OC(C)=O)=C1,DB09205,P06276; P35348; P35368; P25100; P08913; P18089; P18825,Human,substrate; antagonist,Secreted; Nucleus membrane; Cell membrane,C04AX10; G04BE06,54-32-0
WPNJAUFVNXKLIM-UHFFFAOYSA-N,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1,DB09242,Q9Y2I1; P08913,Human,agonist,Cell membrane,C02LC05; C02AC05,75438-57-2
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COC1=C(O)C=CC=C1,DB11359,P02768,Human,,Secreted,,90-05-1
UGZVNIRNPPEDHM-SBBOJQDXSA-L,[Ca++].[H][C@](O)(C([O-])=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)C([O-])=O,DB13962,,,,,,5793-88-4
MELGLHXCBHKVJG-UHFFFAOYSA-N,CCCCCCCC[N+](C)(C)CCCCCCCC,DB13970,,,,,,20256-55-7
OHSVLFRHMCKCQY-NJFSPNSNSA-N,[177Lu],DB13982,,,,,,14265-75-9
RMWVZGDJPAKBDE-UHFFFAOYSA-N,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,DB08814,P23219; P19838; P35228; Q9Y233; P02768,Human,antagonist; agonist; substrate,Microsome membrane; Nucleus; Cytoplasm; Secreted,B01AC18,322-79-2
UOACKFBJUYNSLK-XRKIENNPSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(O)=CC=C4[C@@]3([H])CC[C@]12C)OC(=O)CCC1CCCC1,DB13954,P03372; O75469; P04278; Q92731; P05177; P22309; P02768; P12104; P08684; P20815; P24462; O15244; O15245; O75751; O94956; P46721; Q5T3U5; Q9NSA0; Q9UNQ0; Q9Y6L6; P08183; P04798; Q16678; P33261; P10632; P11712; Q8TCC7; Q9NPD5; Q9NYB5; Q96BD0; P43681; Q15596; Q99527; P00846; Q14457; P37059; P62508,Human,agonist; substrate; inhibitor; inducer; ligand,Nucleus; Secreted; Endoplasmic reticulum membrane; Microsome; Cytoplasm; Membrane; Basolateral cell membrane; Cell membrane; Cell junction; Mitochondrion inner membrane,,313-06-4
OVAHZPTYWMWNKO-CAHAWPIUSA-N,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(OC(=O)CCCCCC)=CC=C4[C@H]3CC[C@]12C,DB13955,P03372; O75469; P04278; Q92731; P05177; P22309; P02768; P12104; P08684; P20815; P24462; O15244; O15245; O75751; O94956; P46721; Q5T3U5; Q9NSA0; Q9UNQ0; Q9Y6L6; P08183; P04798; Q16678; P33261; P10632; P11712; Q8TCC7; Q9NPD5; Q9NYB5; Q96BD0; P43681; Q15596; Q99527; P00846; Q14457; P37059; P62508,Human,agonist; substrate; inhibitor; inducer; ligand,Nucleus; Secreted; Endoplasmic reticulum membrane; Microsome; Cytoplasm; Membrane; Basolateral cell membrane; Cell membrane; Cell junction; Mitochondrion inner membrane,,7732-97-0
LEROTMJVBFSIMP-UHFFFAOYSA-N,CCC(C)C(C)(COC(N)=O)COC(N)=O,DB06797,,,,,N05BC04,64-55-1
OIRCOABEOLEUMC-GEJPAHFPSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,DB00006,P00734; P05164,Human,inhibitor,Secreted; Lysosome,B01AE06,128270-60-0
NDAYQJDHGXTBJL-MWWSRJDJSA-N,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,DB00027,P08183,Human,inhibitor,Cell membrane,R02AB30,1405-97-6
NFLWUMRGJYTJIN-NXBWRCJVSA-N,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,DB00035,P37288; P47901; P30518; P23219; P35354,Human,agonist; inducer,Cell membrane; Microsome membrane,H01BA02,16679-58-6
DOAKLVKFURWEDJ-RWDRXURGSA-N,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,DB00080,,; Gram positive bacteria,incorporation into and destabilization; inhibitor,,J01XX09,103060-53-3
SFKQVVDKFKYTNA-DZCXQCEKSA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,DB00093,P37288,Human,agonist,Cell membrane,,56-59-7
AIWRTTMUVOZGPW-HSPKUQOVSA-N,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,DB00106,P30968,Human,antagonist,Cell membrane,L02BX01,183552-38-7
NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,DB00114,Q9BYV1; Q99259; P35520; Q16719; P34896; Q9Y697; P17174; P04181; P11926; Q8N5Z0; P80404; Q9NVS9; O95470; P17735; Q16773; Q8IYQ7; P06737; O15270; Q9Y600; P19113; Q96A70; P20132; O75600; P23378; P24298; Q9Y617; P13196; P21549; Q96GD0; O15269; P32929; P54687; O15382; O94903; O95954; P00505; P11216; P11217; P20711; Q2TU84; Q53ET4; Q59FK2; Q59GM9; Q59HE2; Q5JAM2; Q5VZ30; Q6IBS8; Q6P996; Q6YP21; Q6ZQY3; Q96I15; Q6WRI0; Q8IUZ5; Q8IVA8; P34897; P22557; Q8TD30; Q96EN8; Q96GA7; Q96JQ3; Q9BXA1; Q9GZT4; Q9HD40; Q9NUV7; Q9UGI5; Q9UJX1,Human,cofactor; activator; inhibitor,Mitochondrion; Cytoplasm; Mitochondrion matrix; Endoplasmic reticulum membrane; Nucleus; Peroxisome; Secreted,A11HA06,54-47-7
MEFKEPWMEQBLKI-AIRLBKTGSA-N,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O,DB00118,Q14749; P17707; P31153; P35520; Q00266; P05181; P21964; P19623; Q8N1G2; Q9HBK9,Human,cofactor; activator; inhibitor; substrate,Cytoplasm; Endoplasmic reticulum membrane; Nucleus,A16AA02,29908-03-0
UDMBCSSLTHHNCD-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,DB00131,Q9Y478; Q9NUB1; Q9NR19; Q13131; O43741; Q08828; P33121; P16220; P11309; Q07343; P06737; P49773; Q08499; P09467; P23109; P07741; P55263,Human,activator; product of; component of; antagonist; inhibitory allosteric modulator; substrate,Cytoplasmic; Mitochondrion matrix; Cytoplasm; Membrane; Mitochondrion outer membrane; Nucleus; Apical cell membrane,,61-19-8
FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(O)=O,DB00134,Q9UBK8; Q99707; P50579; Q93088; Q9H2M3; P15104; P42898; Q8TF71; P31153; Q9Y3D2; Q00266; Q9NZV6; Q9UJ68; P56192; Q96GW9; Q9NZL9,Human,product of; inhibitor; substrate,Cytoplasm; Cell membrane; Mitochondrion; Mitochondrion matrix,V03AB26,63-68-3
QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,DB00150,P23381; P00953; Q9UGM6; P48775; P20711; P36021; Q8TF71; P17752; Q8IWU9; P14902,Human; Geobacillus stearothermophilus,inhibitor; substrate,Cytoplasm; Mitochondrion matrix; Cell membrane,N06AX02,73-22-3
JAZBEHYOTPTENJ-JLNKQSITSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,DB00159,P35354; P23219; O14842; O15540; O60427; O60488; O95573; P32418; P37231; Q03181; Q8NER1; Q07869; P02768,Human,inhibitor; agonist; inducer,Microsome membrane; Cell membrane; Cytoplasm; Endoplasmic reticulum membrane; Mitochondrion outer membrane; Nucleus; Cell junction; Secreted,,10417-94-4
KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(O)=O,DB00161,P05166; P54687; P26640; Q8TF71,Human,inhibitor; substrate,Mitochondrion matrix; Cytoplasm; Cell membrane,,72-18-4
